year,month,temp_c,co2_ppm,ch4_ppb,solar_wm2,co2_emissions_mt,months_elapsed,co2_growth,ch4_growth,co2_ma12,ch4_ma12,solar_anomaly,log_emissions
1993,12,0.18,357.03,1744.27,1361.25,22749.873,131,1.5,-0.9500000000000455,357.215,1736.5375000000001,0.24396900719966652,10.032358797269222
1994,1,0.26,358.36,1741.38,1361.270320408728,22974.598,132,1.330000000000041,-2.8899999999998727,357.32,1737.005,0.2642894159275784,10.042187975176779
1994,2,0.02,359.04,1740.84,1361.2900284547857,22974.598,133,0.6800000000000068,-0.540000000000191,357.455,1737.5441666666668,0.2839974619853365,10.042187975176779
1994,3,0.29,360.11,1741.95,1361.3090794931104,22974.598,134,1.0699999999999932,1.1100000000001273,357.5816666666667,1738.091666666667,0.30304850031006936,10.042187975176779
1994,4,0.41,361.36,1741.99,1361.3274303669727,22974.598,135,1.25,0.03999999999996362,357.74583333333334,1738.5416666666667,0.32139937417241526,10.042187975176779
1994,5,0.28,361.78,1740.73,1361.345039505741,22974.598,136,0.4199999999999591,-1.259999999999991,357.8691666666667,1739.0191666666667,0.33900851294060885,10.042187975176779
1994,6,0.43,360.94,1736.89,1361.3618670190526,22974.598,137,-0.839999999999975,-3.839999999999918,357.9775,1739.5199999999998,0.35583602625229105,10.042187975176779
1994,7,0.3,359.51,1732.29,1361.3778747871772,22974.598,138,-1.4300000000000068,-4.600000000000136,358.14916666666664,1739.8766666666668,0.3718437943769004,10.042187975176779
1994,8,0.21,357.59,1734.04,1361.3930265473714,22974.598,139,-1.920000000000016,1.75,358.3016666666667,1740.1183333333336,0.38699555457105816,10.042187975176779
1994,9,0.31,355.86,1742.94,1361.4072879760251,22974.598,140,-1.7299999999999613,8.900000000000091,358.445,1740.493333333333,0.40125698322481185,10.042187975176779
1994,10,0.42,356.21,1749.79,1361.4206267664156,22974.598,141,0.3499999999999659,6.849999999999909,358.60999999999996,1741.0275,0.4145957736152468,10.042187975176779
1994,11,0.44,357.65,1751.28,1361.4330127018923,22974.598,142,1.4399999999999977,1.490000000000009,358.78666666666663,1741.5325,0.4269817090919332,10.042187975176779
1994,12,0.38,359.1,1751.65,1361.4444177243274,22974.598,143,1.4500000000000455,0.37000000000011823,358.9591666666667,1742.1475,0.43838673152708907,10.042187975176779
1995,1,0.52,360.04,1751.14,1361.4548159976773,23516.639,144,0.9399999999999977,-0.5099999999999909,359.0991666666667,1742.9608333333333,0.4487850048769815,10.065506014320826
1995,2,0.79,361.0,1749.5,1361.464183966508,23516.639,145,0.9599999999999795,-1.6400000000001,359.26250000000005,1743.6825,0.4581529737076835,10.065506014320826
1995,3,0.46,361.98,1748.99,1361.4725004093573,23516.639,146,0.9800000000000182,-0.5099999999999909,359.41833333333335,1744.2691666666667,0.4664694165569472,10.065506014320826
1995,4,0.46,363.44,1749.42,1361.4797464868072,23516.639,147,1.4599999999999795,0.43000000000006366,359.5916666666667,1744.8883333333333,0.4737154940069104,10.065506014320826
1995,5,0.27,363.83,1747.65,1361.4859057841618,23516.639,148,0.38999999999998636,-1.7699999999999818,359.76250000000005,1745.4650000000001,0.4798747913614534,10.065506014320826
1995,6,0.43,363.33,1742.83,1361.4909643486315,23516.639,149,-0.5,-4.820000000000164,359.96166666666664,1745.96,0.4849333558311173,10.065506014320826
1995,7,0.45,361.78,1740.17,1361.4949107209404,23516.639,150,-1.5500000000000114,-2.6599999999998545,360.1508333333333,1746.6166666666668,0.4888797281400912,10.065506014320826
1995,8,0.45,359.33,1743.59,1361.4977359612865,23516.639,151,-2.4499999999999886,3.4199999999998454,360.29583333333335,1747.4125000000001,0.49170496848614675,10.065506014320826
1995,9,0.33,358.32,1749.77,1361.4994336695916,23516.639,152,-1.009999999999991,6.180000000000064,360.50083333333333,1747.9816666666668,0.4934026767912201,10.065506014320826
1995,10,0.46,358.14,1754.35,1361.5,23516.639,153,-0.18000000000000682,4.579999999999927,360.66166666666663,1748.3616666666667,0.4939690071996665,10.065506014320826
1995,11,0.44,359.61,1755.51,1361.4994336695916,23516.639,154,1.4700000000000273,1.1600000000000819,360.825,1748.7141666666669,0.4934026767912201,10.065506014320826
1995,12,0.26,360.82,1753.85,1361.4977359612865,23516.639,155,1.2099999999999795,-1.6600000000000819,360.9683333333333,1748.8975,0.49170496848614675,10.065506014320826
1996,1,0.24,362.2,1752.24,1361.4949107209404,24233.477,156,1.3799999999999955,-1.6099999999999,361.1483333333333,1748.989166666667,0.4888797281400912,10.095531567687631
1996,2,0.46,363.36,1752.74,1361.4909643486315,24233.477,157,1.160000000000025,0.5,361.345,1749.2591666666667,0.4849333558311173,10.095531567687631
1996,3,0.32,364.28,1752.23,1361.4859057841618,24233.477,158,0.9199999999999591,-0.5099999999999909,361.53666666666663,1749.5291666666665,0.4798747913614534,10.095531567687631
1996,4,0.33,364.69,1749.62,1361.4797464868072,24233.477,159,0.410000000000025,-2.6100000000001273,361.6408333333333,1749.5458333333333,0.4737154940069104,10.095531567687631
1996,5,0.27,365.25,1748.3,1361.4725004093573,24233.477,160,0.5600000000000023,-1.3199999999999363,361.75916666666666,1749.6000000000001,0.4664694165569472,10.095531567687631
1996,6,0.25,365.06,1746.04,1361.464183966508,24233.477,161,-0.18999999999999773,-2.259999999999991,361.90333333333336,1749.8675,0.4581529737076835,10.095531567687631
1996,7,0.36,363.69,1742.07,1361.4548159976773,24233.477,162,-1.3700000000000045,-3.9700000000000273,362.0625,1750.0258333333331,0.4487850048769815,10.095531567687631
1996,8,0.48,361.55,1744.29,1361.4444177243274,24233.477,163,-2.1399999999999864,2.2200000000000273,362.2475,1750.0841666666665,0.43838673152708907,10.095531567687631
1996,9,0.25,359.69,1752.62,1361.4330127018923,24233.477,164,-1.8600000000000136,8.329999999999927,362.3616666666667,1750.3216666666665,0.4269817090919332,10.095531567687631
1996,10,0.22,359.72,1758.91,1361.4206267664156,24233.477,165,0.03000000000002956,6.290000000000191,362.49333333333334,1750.7016666666666,0.4145957736152468,10.095531567687631
1996,11,0.41,361.04,1760.1,1361.4072879760251,24233.477,166,1.3199999999999932,1.1899999999998272,362.6125,1751.0841666666665,0.40125698322481185,10.095531567687631
1996,12,0.37,362.39,1756.96,1361.3930265473714,24233.477,167,1.349999999999966,-3.1399999999998727,362.74333333333334,1751.3433333333332,0.38699555457105816,10.095531567687631
1997,1,0.32,363.24,1753.4,1361.3778747871772,24380.322,168,0.8500000000000227,-3.5599999999999454,362.83,1751.4399999999998,0.3718437943769004,10.101572626339557
1997,2,0.4,364.21,1753.86,1361.3618670190526,24380.322,169,0.9699999999999704,0.459999999999809,362.90083333333337,1751.5333333333335,0.35583602625229105,10.101572626339557
1997,3,0.52,364.65,1755.67,1361.3450395057412,24380.322,170,0.4399999999999977,1.8100000000001728,362.9316666666667,1751.82,0.3390085129408362,10.101572626339557
1997,4,0.33,366.49,1755.53,1361.3274303669727,24380.322,171,1.8400000000000318,-0.14000000000010004,363.08166666666665,1752.3125,0.32139937417241526,10.101572626339557
1997,5,0.34,366.77,1753.81,1361.3090794931104,24380.322,172,0.2799999999999727,-1.7200000000000273,363.2083333333333,1752.7716666666665,0.30304850031006936,10.101572626339557
